2023-02-16, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -7232.70, Paid vendor invoice for goods received.
2023-04-19, inflow , Andrew Robinson     , GB11WZXY29105854629139,  9582.00, Received investment income from stock portfolio.
2023-02-13, outflow, Mrs. Priscilla Jones, GB45WASM03618775326398, -3429.32, Issued refund to customer for returned merchandise.
2023-01-17, inflow , Jason Lynch         , GB36TYVN52756209723454,  1283.66, Transferred funds from another account for operating expenses.
2023-03-23, inflow , Carol Thompson      , GB74UOKU08956675898970,  3278.85, Received refund from vendor for overpayment.
2023-04-17, inflow , Mrs. Priscilla Jones, GB45WASM03618775326398,  4264.68, Received refund from vendor for overpayment.
2023-04-24, inflow , Mary Taylor         , GB41EZNB43255584510537,   120.05, Received interest income from bank account.
2023-03-29, outflow, Jennifer Hull       , GB28UAUN38172059435273, -5565.01, Withdrew cash for petty cash fund.
2023-02-28, inflow , Scott Young         , GB86BOFO25352976019831,  1120.55, Received payment from customer for services rendered.
2023-03-10, outflow, Karen Armstrong     , GB56PADX04568068853264, -4722.09, Issued refund to customer for returned merchandise.
2023-04-11, inflow , Mary Taylor         , GB41EZNB43255584510537,   179.90, Received investment income from stock portfolio.
2023-02-21, outflow, Mary Taylor         , GB41EZNB43255584510537, -4206.29, Withdrew cash for petty cash fund.
2023-04-08, inflow , Michael Sutton      , GB89NCWE38453389542012,  5396.63, Received payment from customer for services rendered.
2023-04-10, inflow , Dr. Daniel Smith DVM, GB44RYPJ67026820826964,  4098.55, Transferred funds from another account for operating expenses.
2023-02-13, inflow , Dr. Daniel Smith DVM, GB44RYPJ67026820826964,  4960.85, Received refund from vendor for overpayment.
2023-03-09, outflow, Andrew Robinson     , GB11WZXY29105854629139, -1781.64, Transferred funds to another account for investment.
2023-04-10, inflow , Brandy Petty        , GB32RUKK11183568733701,  3634.59, Transferred funds from another account for operating expenses.
2023-04-01, outflow, Michael Sutton      , GB89NCWE38453389542012, -8557.50, Paid monthly rent for office space.
2023-04-23, inflow , Andrew Robinson     , GB11WZXY29105854629139,  9633.00, Received investment income from stock portfolio.
2023-04-24, inflow , Jason Lynch         , GB36TYVN52756209723454,  8553.41, Received refund from vendor for overpayment.
2023-03-09, inflow , Becky Medina        , GB98BLJX79168691570989,  1816.71, Received investment income from stock portfolio.
2023-03-23, inflow , Madeline Johnson    , GB07LWCJ51689235159237,  9905.64, Received refund from vendor for overpayment.
2023-04-11, inflow , Scott Young         , GB86BOFO25352976019831,  1856.81, Received refund from vendor for overpayment.
2023-02-18, outflow, Mrs. Priscilla Jones, GB45WASM03618775326398, -9337.30, Paid vendor invoice for goods received.
2023-03-29, outflow, Jason Lynch         , GB36TYVN52756209723454, -5484.37, Paid monthly rent for office space.
2023-03-09, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,  3796.40, Received payment from customer for services rendered.
2023-01-21, inflow , Corey Taylor        , GB31DBZF60117209012128,  3242.59, Received investment income from stock portfolio.
2023-01-23, outflow, Andrew Robinson     , GB11WZXY29105854629139, -6009.25, Withdrew cash for petty cash fund.
2023-02-28, inflow , Karen Armstrong     , GB56PADX04568068853264,  8400.60, Received investment income from stock portfolio.
2023-04-21, outflow, Michael Coleman     , GB24UKNL34245649292041, -6328.64, Issued refund to customer for returned merchandise.
